No	TMNo	EnNo	Name GMNo	Mode	DateTime
1	1	6	 1	0	2018/10/08 07:14:47
2	1	7	 1	0	2018/10/08 07:16:51
3	1	38	 1	0	2018/10/08 07:28:00
4	1	39	 1	0	2018/10/08 07:40:29
5	1	35	 1	0	2018/10/08 07:40:35
6	1	2	 1	0	2018/10/08 07:41:57
7	1	12	 1	0	2018/10/08 07:47:33
8	1	3	 1	0	2018/10/08 07:47:43
9	1	23	 1	0	2018/10/08 07:49:27
10	1	55	 1	0	2018/10/08 07:54:40
11	1	22	 1	0	2018/10/08 07:55:50
12	1	17	 1	0	2018/10/08 08:03:20
13	1	51	 1	0	2018/10/08 08:08:11
14	1	49	 1	0	2018/10/08 08:13:48
15	1	18	 1	0	2018/10/08 08:15:17
16	1	14	 1	0	2018/10/08 08:16:35
17	1	28	 1	0	2018/10/08 08:20:46
18	1	31	 1	0	2018/10/08 08:23:20
19	1	27	 1	0	2018/10/08 08:29:45
20	1	41	 1	0	2018/10/08 08:31:50
21	1	19	 1	0	2018/10/08 08:31:58
22	1	30	 1	0	2018/10/08 08:35:12
23	1	21	 1	0	2018/10/08 08:38:48
24	1	16	 1	0	2018/10/08 08:40:50
25	1	34	 1	0	2018/10/08 08:44:13
26	1	33	 1	0	2018/10/08 08:52:11
27	1	29	 1	0	2018/10/08 08:54:44
28	1	25	 1	0	2018/10/08 08:56:08
29	1	26	 1	0	2018/10/08 08:58:37
30	1	13	 1	0	2018/10/08 09:14:18
31	1	53	 1	0	2018/10/08 09:22:54
32	1	15	 1	0	2018/10/08 09:26:38
33	1	37	 1	0	2018/10/08 09:30:27
34	1	40	 1	0	2018/10/08 09:31:33
35	1	36	 1	0	2018/10/08 09:40:22
36	1	24	 1	0	2018/10/08 09:42:07
37	1	9	 1	0	2018/10/08 09:47:00
38	1	7	 1	0	2018/10/08 12:11:07
39	1	4	 1	0	2018/10/08 14:19:43
40	1	30	 1	0	2018/10/08 15:42:29
41	1	31	 1	0	2018/10/08 16:19:37
42	1	26	 1	0	2018/10/08 16:34:40
43	1	4	 1	0	2018/10/08 16:38:20
44	1	15	 1	0	2018/10/08 16:45:01
45	1	37	 1	0	2018/10/08 16:46:00
46	1	53	 1	0	2018/10/08 16:46:17
47	1	16	 1	0	2018/10/08 16:50:42
48	1	33	 1	0	2018/10/08 16:53:08
49	1	40	 1	0	2018/10/08 16:53:58
50	1	21	 1	0	2018/10/08 16:57:13
51	1	40	 1	0	2018/10/08 17:07:59
52	1	29	 1	0	2018/10/08 17:22:11
53	1	18	 1	0	2018/10/08 17:26:06
54	1	22	 1	0	2018/10/08 17:28:46
55	1	23	 1	0	2018/10/08 17:30:05
56	1	49	 1	0	2018/10/08 17:32:02
57	1	34	 1	0	2018/10/08 17:34:52
58	1	39	 1	0	2018/10/08 17:38:54
59	1	55	 1	0	2018/10/08 17:39:14
60	1	6	 1	0	2018/10/08 17:41:14
61	1	51	 1	0	2018/10/08 17:47:48
62	1	9	 1	0	2018/10/08 17:57:11
63	1	35	 1	0	2018/10/08 18:05:12
64	1	2	 1	0	2018/10/08 18:16:52
65	1	12	 1	0	2018/10/08 18:18:42
66	1	38	 1	0	2018/10/08 18:42:49
67	1	6	 1	0	2018/10/09 07:09:58
68	1	7	 1	0	2018/10/09 07:13:29
69	1	39	 1	0	2018/10/09 07:40:54
70	1	55	 1	0	2018/10/09 07:41:43
71	1	2	 1	0	2018/10/09 07:42:15
72	1	35	 1	0	2018/10/09 07:43:06
73	1	30	 1	0	2018/10/09 07:45:12
74	1	38	 1	0	2018/10/09 07:47:58
75	1	22	 1	0	2018/10/09 07:53:28
76	1	12	 1	0	2018/10/09 07:54:52
77	1	4	 1	0	2018/10/09 07:55:30
78	1	23	 1	0	2018/10/09 07:57:43
79	1	34	 1	0	2018/10/09 07:58:52
80	1	17	 1	0	2018/10/09 08:00:34
81	1	49	 1	0	2018/10/09 08:05:04
82	1	21	 1	0	2018/10/09 08:07:48
83	1	51	 1	0	2018/10/09 08:10:53
84	1	18	 1	0	2018/10/09 08:14:38
85	1	19	 1	0	2018/10/09 08:19:47
86	1	31	 1	0	2018/10/09 08:20:04
87	1	27	 1	0	2018/10/09 08:28:52
88	1	26	 1	0	2018/10/09 08:42:47
89	1	14	 1	0	2018/10/09 08:51:15
90	1	13	 1	0	2018/10/09 08:56:55
91	1	16	 1	0	2018/10/09 08:59:19
92	1	15	 1	0	2018/10/09 09:02:46
93	1	32	 1	0	2018/10/09 09:05:44
94	1	28	 1	0	2018/10/09 09:07:56
95	1	33	 1	0	2018/10/09 09:11:54
96	1	37	 1	0	2018/10/09 09:14:59
97	1	29	 1	0	2018/10/09 09:17:37
98	1	40	 1	0	2018/10/09 09:24:18
99	1	36	 1	0	2018/10/09 09:30:43
100	1	24	 1	0	2018/10/09 09:31:46
101	1	9	 1	0	2018/10/09 10:02:42
102	1	4	 1	0	2018/10/09 10:05:06
103	1	7	 1	0	2018/10/09 12:00:05
104	1	28	 1	0	2018/10/09 12:16:15
105	1	32	 1	0	2018/10/09 15:54:51
106	1	31	 1	0	2018/10/09 16:16:18
107	1	23	 1	0	2018/10/09 16:21:17
108	1	9	 1	0	2018/10/09 16:25:51
109	1	26	 1	0	2018/10/09 16:35:15
110	1	37	 1	0	2018/10/09 16:37:15
111	1	17	 1	0	2018/10/09 16:42:25
112	1	15	 1	0	2018/10/09 16:44:59
113	1	16	 1	0	2018/10/09 16:51:00
114	1	53	 1	0	2018/10/09 16:52:45
115	1	18	 1	0	2018/10/09 16:57:05
116	1	21	 1	0	2018/10/09 16:59:09
117	1	40	 1	0	2018/10/09 16:59:16
118	1	33	 1	0	2018/10/09 17:02:19
119	1	55	 1	0	2018/10/09 17:10:05
120	1	6	 1	0	2018/10/09 17:10:46
121	1	22	 1	0	2018/10/09 17:19:28
122	1	51	 1	0	2018/10/09 17:23:27
123	1	30	 1	0	2018/10/09 17:23:59
124	1	24	 1	0	2018/10/09 17:24:24
125	1	36	 1	0	2018/10/09 17:24:29
126	1	2	 1	0	2018/10/09 17:31:24
127	1	29	 1	0	2018/10/09 17:45:26
128	1	34	 1	0	2018/10/09 17:46:01
129	1	35	 1	0	2018/10/09 17:55:14
130	1	39	 1	0	2018/10/09 17:55:22
131	1	49	 1	0	2018/10/09 18:09:26
132	1	12	 1	0	2018/10/09 18:09:45
133	1	3	 1	0	2018/10/09 18:26:43
134	1	38	 1	0	2018/10/09 18:34:29
135	1	7	 1	0	2018/10/11 07:12:43
136	1	6	 1	0	2018/10/11 07:20:03
137	1	12	 1	0	2018/10/11 07:41:35
138	1	38	 1	0	2018/10/11 07:41:53
139	1	22	 1	0	2018/10/11 07:42:19
140	1	35	 1	0	2018/10/11 07:43:56
141	1	39	 1	0	2018/10/11 07:43:58
142	1	23	 1	0	2018/10/11 07:46:03
143	1	4	 1	0	2018/10/11 07:57:26
144	1	55	 1	0	2018/10/11 07:57:40
145	1	34	 1	0	2018/10/11 08:08:24
146	1	17	 1	0	2018/10/11 08:09:51
147	1	10	 1	0	2018/10/11 08:12:35
148	1	51	 1	0	2018/10/11 08:13:10
149	1	49	 1	0	2018/10/11 08:13:23
150	1	20	 1	0	2018/10/11 08:24:30
151	1	31	 1	0	2018/10/11 08:24:47
152	1	30	 1	0	2018/10/11 08:26:17
153	1	27	 1	0	2018/10/11 08:33:48
154	1	14	 1	0	2018/10/11 08:37:32
155	1	21	 1	0	2018/10/11 08:39:20
156	1	29	 1	0	2018/10/11 08:57:24
157	1	16	 1	0	2018/10/11 08:57:31
158	1	26	 1	0	2018/10/11 09:03:06
159	1	33	 1	0	2018/10/11 09:04:18
160	1	37	 1	0	2018/10/11 09:05:46
161	1	15	 1	0	2018/10/11 09:16:52
162	1	36	 1	0	2018/10/11 09:20:16
163	1	25	 1	0	2018/10/11 09:20:38
164	1	53	 1	0	2018/10/11 09:28:51
165	1	40	 1	0	2018/10/11 09:34:07
166	1	4	 1	0	2018/10/11 10:01:08
167	1	9	 1	0	2018/10/11 10:54:06
168	1	7	 1	0	2018/10/11 12:11:22
169	1	2	 1	0	2018/10/11 13:08:03
170	1	17	 1	0	2018/10/11 16:06:59
171	1	31	 1	0	2018/10/11 16:16:34
172	1	2	 1	0	2018/10/11 16:17:32
173	1	20	 1	0	2018/10/11 16:19:39
174	1	26	 1	0	2018/10/11 16:31:20
175	1	30	 1	0	2018/10/11 16:45:41
176	1	33	 1	0	2018/10/11 16:46:30
177	1	15	 1	0	2018/10/11 16:49:18
178	1	16	 1	0	2018/10/11 16:50:31
179	1	53	 1	0	2018/10/11 16:51:32
180	1	37	 1	0	2018/10/11 16:54:12
181	1	55	 1	0	2018/10/11 16:55:27
182	1	40	 1	0	2018/10/11 16:56:05
183	1	21	 1	0	2018/10/11 16:58:19
184	1	24	 1	0	2018/10/11 17:04:25
185	1	36	 1	0	2018/10/11 17:04:28
186	1	41	 1	0	2018/10/11 17:10:46
187	1	9	 1	0	2018/10/11 17:17:47
188	1	10	 1	0	2018/10/11 17:22:46
189	1	6	 1	0	2018/10/11 17:26:11
190	1	23	 1	0	2018/10/11 17:28:33
191	1	22	 1	0	2018/10/11 17:29:13
192	1	34	 1	0	2018/10/11 17:37:59
193	1	39	 1	0	2018/10/11 17:38:35
194	1	29	 1	0	2018/10/11 17:39:15
195	1	22	 1	0	2018/10/11 17:42:00
196	1	35	 1	0	2018/10/11 17:44:36
197	1	51	 1	0	2018/10/11 17:49:45
198	1	2	 1	0	2018/10/11 17:57:05
199	1	12	 1	0	2018/10/11 17:57:38
200	1	38	 1	0	2018/10/11 18:16:48
201	1	49	 1	0	2018/10/11 18:17:04
202	1	38	 1	0	2018/10/11 18:22:20
203	1	6	 1	0	2018/10/12 07:21:52
204	1	7	 1	0	2018/10/12 07:33:05
205	1	38	 1	0	2018/10/12 07:33:27
206	1	35	 1	0	2018/10/12 07:43:36
207	1	2	 1	0	2018/10/12 07:44:47
208	1	39	 1	0	2018/10/12 07:45:53
209	1	23	 1	0	2018/10/12 07:49:53
210	1	55	 1	0	2018/10/12 07:56:59
211	1	34	 1	0	2018/10/12 08:00:30
212	1	22	 1	0	2018/10/12 08:01:58
213	1	12	 1	0	2018/10/12 08:03:43
214	1	17	 1	0	2018/10/12 08:06:19
215	1	49	 1	0	2018/10/12 08:07:02
216	1	51	 1	0	2018/10/12 08:08:49
217	1	32	 1	0	2018/10/12 08:11:06
218	1	28	 1	0	2018/10/12 08:11:43
219	1	10	 1	0	2018/10/12 08:14:41
220	1	18	 1	0	2018/10/12 08:16:44
221	1	30	 1	0	2018/10/12 08:25:13
222	1	20	 1	0	2018/10/12 08:29:48
223	1	31	 1	0	2018/10/12 08:43:13
224	1	21	 1	0	2018/10/12 08:45:13
225	1	25	 1	0	2018/10/12 08:47:33
226	1	26	 1	0	2018/10/12 08:49:08
227	1	36	 1	0	2018/10/12 08:52:12
228	1	24	 1	0	2018/10/12 08:52:44
229	1	33	 1	0	2018/10/12 08:53:07
230	1	27	 1	0	2018/10/12 08:53:38
231	1	14	 1	0	2018/10/12 08:56:17
232	1	16	 1	0	2018/10/12 09:07:10
233	1	15	 1	0	2018/10/12 09:08:17
234	1	37	 1	0	2018/10/12 09:14:25
235	1	29	 1	0	2018/10/12 09:15:11
236	1	40	 1	0	2018/10/12 09:31:28
237	1	53	 1	0	2018/10/12 10:05:15
238	1	9	 1	0	2018/10/12 11:17:02
239	1	7	 1	0	2018/10/12 12:29:24
240	1	2	 1	0	2018/10/12 16:03:21
241	1	31	 1	0	2018/10/12 16:22:18
242	1	53	 1	0	2018/10/12 16:40:38
243	1	20	 1	0	2018/10/12 16:42:32
244	1	26	 1	0	2018/10/12 16:43:53
